Rank	Token	No space  (nsp)	MTW  identifiers	First			Second		
1	"	nsp							
2	È								
3	ora								
4	che								
5	il								
6	divario								
7	di								
8	opportunità								
9	venga								
10	dappertutto								
11	colmato	nsp							
12	"	nsp							
13	,								
14	aggiunge	nsp							
15	,								
16	e								
17	pronuncia								
18	una								
19	frase								
20	significativa	nsp							
21	:								
									
1	"	nsp							
2	La								
3	cultura								
4	ha								
5	più								
6	che								
7	mai								
8	bisogno								
9-10	del								
9	di								
10	il								
11	genio								
12	femminile	nsp							
13	"	nsp							
14	.								
									
1	Sarà								
2	vero								
3	"	nsp							
4	neofemminismo	nsp							
5	"	nsp							
6	?								
