Rank	Token	No space  (nsp)	MTW  identifiers	First			Second				
16	σημαντική										
17	πτώση										
18	των										
19	τιμών										
20	του										
21	πετρελαίου										
22	να										
23	πιέζει										
24	ακόμη										
25	περισσότερο										
26	προς										
27	τα										
28	κάτω										
29	τον										
30	πληθωρισμό	nsp									
31	,										
32	έχουν										
33	αυξηθεί										
34	οι										
35	πιθανότητες										
36	να										
37	εγκρίνει										
38	το										
39	συμβούλιο										
40	τον										
41	Μάρτιο										
42	νέα										
43	μέτρα										
44	χαλάρωσης	nsp									
45	.										
											
1	Με										
2	προβλήματα										
3	θα										
4	συνεδριάσει										
5	το										
6	Euroworking										
7	Group										
8	(	nsp									
9	EWG	nsp									
10	)										
11	το										
12	μεσημέρι										
13	της										
14	Πέμπτης										
15	για										
16	να										
17	αποφασίσει										
18	αν										
19	θα										
20	δώσει			1	ID						
21	το			1							
22	«	nsp									
23	πράσινο			1							
24	φως	nsp		1							
25	»										
26	για					SEL/_					
27	τη										
28	εκταμίευση										
29	της										
30	δόσης										
31	του										
32	ενός										
33	δισ	nsp									
34	.										
35	προς										
36	την										
37	Ελλάδα	nsp									
38	.										
											
1	Με										
2	τη										
3	συμφωνία										
4	αυτή										
5	μπορεί										
6	να										
7	τερματίζεται										
8	η										
9	σχεδόν										
10	10ετής										
11	επιτυχής										
12	παρουσία										
13	της										
14	τράπεζάς										
15	μας										
16	στην										
17	Τουρκία	nsp									
18	,										
19	ανοίγει			1	ID						
20	όμως										
21	μια										
22	νέα			1							
23	σελίδα			1							
24	για										
25	τις										
26	δραστηριότητές										
27	μας										
28	στην										
29	Ελλάδα	nsp									
30	,										
31	καθώς										
32	τόσο										
33	η										
34	κεφαλαιακή										
35	ενίσχυση										
36	όσο										
37	και										
38	η										
39	ρευστότητα										
40	που										
41	θα										
42	επέλθουν										
43	από										
44	τη										
45	συναλλαγή	nsp									
46	,										
47	θα										
48	συμβάλουν										
49	καταλυτικά										
50	στο										
51	να										
52	ενδυναμώσουν										
53	περαιτέρω										
54	την										
55	Εθνική										
56	Τράπεζα	nsp									
57	.										
											
1	Με										
2	τον										
3	Αλέξη										
4	Τσίπρα										
5	συμφώνησε										
6	και										
7	ο										
8	υπουργός										
9	οικονομικών										
10	της										
11	Γερμανίας	nsp									
12	,										
13	Βόλφγκανγκ										
14	Σόιμπλε	nsp									
15	,										
16	προσθέτοντας										
17	όμως										
18	ότι										
19	«	nsp									
20	και										
21	οι										
22	μικρότερες										
23	χώρες										
24	της										
25	Ευρώπης										
26	θα										
27	πρέπει										
28	να										
29	είναι										
30	ανταγωνιστικές	nsp									
31	»	nsp									
32	,										
33	απαντώντας										
34	ουσιαστικά										
35	στον										
36	Αλέξη										
37	Τσίπρα										
38	που										
39	νωρίτερα										
40	είχε										
41	τονίσει										
42	ότι										
43	«	nsp									
44	η										
45	Ευρώπη										
46	για										
47	να										
48	μπορέσει										
49	να										
50	προχωρήσει										
51	χρειάζεται										
52	να										
53	βάλει			1	ID						
54	μπροστά			1							
55	την										
56	ατζέντα										
57	της										
58	ανάπτυξης										
59	συνολικά										
60	και										
61	να										
62	μπορέσει										
63	να										
64	αμβλύνει										
65	τις										
66	μεγάλες										
67	ανισότητες										
68	ανάμεσα										
69	στις										
70	χώρες										
71	της										
72	περιφέρειας										
73	και										
74	στις										
75	χώρες										
76	του										
77	βορρά	nsp									
78	»	nsp									
79	.										
											
1	Με										
2	όλα										
3	αυτά										
4	που										
5	έρχονται			1	ID						
6	στο			1							
7	φως	nsp		1							
8	,										
9	αποδεικνύεται										
10	πόσο										
11	δίκαιο										
12	είχαν										
13	εκείνοι										
14	που										
15	προειδοποιούσαν										
16	για										
17	την										
18	επερχόμενη										
19	καταστροφή										
20	και										
21	ζητούσαν										
22	επίμονα										
23	να										
24	τελειώνουν										
25	οι										
26	πειραματισμοί										
27	και										
28	να										
29	υπάρξει										
30	συμφωνία										
31	με										
32	την										
33	Ευρώπη	nsp									
34	.										
											
1	Μετά										
2	τη										
3	συνάντησή										
4	τους										
5	οι										
6	δύο										
7	υπουργοί										
8	έκαναν			1	LVC						
9	τις										
10	ακόλουθες										
11	δηλώσεις	nsp		1							
12	.										
											
1	Μετά										
2	τον										
3	θάνατο										
4	του										
5	αδελφού										
6	μου										
7	Βασίλη										
8	όλοι										
9	μας										
10	πάθαμε			1	LVC						
11	μεγάλο										
12	σοκ	nsp		1							
13	.										
											
1	Μου										
2	έχει										
3	περάσει			1	ID						
4	άπειρες										
5	φορές										
6	από			1							
7	το			1							
8	μυαλό			1							
9	να										
10	ενδώσω	nsp									
11	,										
12	αλλά										
13	σκέφτομαι										
14	το										
15	σούσουρο										
16	που										
17	θα										
18	δημιουργηθεί										
19	και										
20	κάνω			2	VPC						
21	πίσω	nsp		2							
22	.										
											
1	Μου										
2	κάνει			1	LVC						
3	κατάπληξη			1							
4	που										
5	τόσο										
6	πολλοί										
7	στο										
8	Νταβός										
9	παίρνουν			2	SENT						
10	τόσο										
11	σοβαρά			2							
12	τον										
13	Τραμπ										
											
1	Μπαρούτι			1	SENT						
2	μυρίζει			1							
3	πλέον										
4	το										
5	θέμα										
6	των										
7	κινητοποιήσεων										
8	των										
9	αγροτών	nsp									
10	.										
											
1	Μυρτώ										
2	SOS	nsp									
3	,										
4	φοβάμαι										
5	μην										
6	τα										
7	τινάξω			1	ID						
8	όλα										
9	στον			1							
10	αέρα	nsp		1							
11	.										
											
1	Να										
2	δω										
3	πόσο										
4	γερά			1	SENT						
5	πατάω			1							
6	στα			1							
7	πόδια			1							
8	μου			1							
9	σαν										
10	δημοσιογράφος	nsp									
11	.										
											
1	Νιώθω										
2	πραγματικά										
3	ευλογημένη										
4	που										
5	βγάζω			1	SENT						
6	το			1							
7	ψωμί			1							
8	μου			1							
9	με										
10	το										
11	επάγγελμα										
12	που										
13	αγαπώ										
14	από										
15	μικρό										
16	παιδί	nsp									
17	.										
											
1	Νόμιζε										
2	ότι										
3	του										
4	κάνουν			1	ID						
5	πλάκα	nsp		1							
6	.										
											
1	Ο										
2	46χρονος										
3	Σπύρος	nsp									
4	-	nsp									
5	Richard										
6	Hagabimana	nsp									
7	,										
8	μέχρι										
9	πρότινος										
10	συνταγματάρχης										
11	της										
12	μπουρουντιανής										
13	αστυνομίας	nsp									
14	,										
15	με										
16	ελληνική										
17	υπηκοότητα	nsp									
18	,										
19	βρέθηκε			1	SENT						
20	κυριολεκτικά										
21	στο			1							
22	«	nsp									
23	μάτι			1							
24	του			1							
25	κυκλώνα	nsp		1							
26	»										
27	λόγω										
28	των										
29	πολιτικών										
30	αναταραχών										
31	στο										
32	Μπουρούντι	nsp									
33	,										
34	όπου										
35	είχε										
36	επιστρέψει										
37	έπειτα										
38	από										
39	σπουδές										
40	και										
41	εργασία										
42	στην										
43	Ελλάδα										
44	αλλά										
45	και										
46	μετά										
47	τη										
48	συμμετοχή										
49	του										
50	σε										
51	διεθνείς										
52	αποστολές										
53	του										
54	ΟΗΕ	nsp									
55	,										
56	με										
57	το										
58	όραμα										
59	να										
60	συμβάλει										
61	σε										
62	μια										
63	πιο										
64	δημοκρατική										
65	κοινωνία	nsp									
66	.										
											
1	Ο										
2	47χρονος										
3	Β	nsp									
4	.	nsp									
5	Ρ	nsp									
6	.	nsp									
7	,										
8	που										
9	είναι										
10	διαζευγμένος	nsp									
11	,										
12	πατέρας										
13	δύο										
14	παιδιών										
15	και										
16	γνωστός										
17	στην										
18	κοινωνία										
19	της										
20	Δράμας	nsp									
21	,										
22	αφού										
23	στο										
24	παρελθόν										
25	είχε										
26	ασχοληθεί										
27	με										
28	την										
29	Τοπική										
30	Αυτοδιοίκηση	nsp									
31	,										
32	οδηγήθηκε										
33	στον										
34	εισαγγελέα	nsp									
35	,										
36	ο										
37	οποίος										
38	του										
39	άσκησε			1	LVC						
40	δίωξη			1							
41	για										
42	βιασμό	nsp									
43	,										
44	βαριά										
45	σωματική										
46	βλάβη	nsp									
47	,										
48	έκθεση	nsp									
49	,										
50	υπεξαίρεση										
51	και										
52	παράβαση										
53	του										
54	νόμου										
55	περί										
56	ναρκωτικών	nsp									
57	.										
											
1	Ο										
2	ΑΝΤ1										
3	ετοιμάζεται										
4	να										
5	φέρει			1	ID						
6	τα			1							
7	πάνω			1							
8	κάτω			1							
9	στο					SEL/_					
10	πρόγραμμά										
11	του										
12	με										
13	την										
14	έλευση										
15	του										
16	2016	nsp									
17	,										
18	με										
19	τις										
20	αλλαγές										
21	-	nsp									
22	μικρές										
23	ή										
24	μεγάλες	nsp									
25	-										
26	να										
27	γίνονται										
28	τέλη										
29	Ιανουαρίου										
30	με										
31	αρχές										
32	Φεβρουαρίου	nsp									
33	.										
											
1	Ο										
2	Αλέξης										
3	Τσίπας										
4	έτεινε			1	ID						
5	χείρα			1							
6	φιλίας			1							
7	στους					SEL					
8	διαδηλωτές	nsp									
9	,										
10	δηλώνοντας										
11	ότι										
12	ο										
13	λαϊκός										
14	κόσμος										
15	έχει										
16	κάθε										
17	δίκιο										
18	να										
19	αγωνιά										
20	και										
21	να										
22	διαδηλώνει	nsp									
23	.										
											
1	Ο										
2	Αλέξης										
3	Τσίπρας										
4	άφησε			1	ID						
5	όμως										
6	αιχμές			1							
7	και										
8	κατά					SEL/_					
9	του										
10	Βόλφγκανγκ										
11	Σόιμπλε	nsp									
12	.										
											
1	Ο										
2	Ετορε										
3	Σκόλα	nsp									
4	,										
5	ο										
6	οποίος										
7	έφυγε			1	ID						
8	χθες										
9	από			1							
10	τη			1							
11	ζωή			1							
12	σε										
13	ηλικία										
14	84										
15	ετών	nsp									
16	,										
17	ήταν										
18	ένας										
19	από										
20	εκείνους										
21	τους										
22	παλιούς										
23	Ιταλούς										
24	μάστορες										
25	του										
26	σινεμά										
27	που										
28	έχτισαν										
29	πάνω										
30	στην										
31	παράδοση										
32	του										
33	Ντε										
34	Σίκα										
35	(	nsp									
36	υπήρξε										
37	μαθητής										
38	του	nsp									
39	)										
40	και										
41	του										
42	Ροσελίνι	nsp									
43	.										
											
1	Ο										
2	Ευρωβουλευτής										
3	ρίχνει			1	ID						
4	αιχμές			1							
5	κατά					SEL/_					
6	όσων										
7	μιλάνε										
8	για										
9	νέο										
10	εκλογικό										
11	αιφνιδιασμό										
12	καλώντας										
13	–										
14	επιτέλους										
15	–										
16	τον										
17	ΣΥΡΙΖΑ										
18	να										
19	κυβερνήσει										
											
1	Ο										
2	Θέμης										
3	Μουμουλίδης										
4	είχε										
5	όντως										
6	πρόβλημα										
7	χρόνου										
8	χθες	nsp									
9	,										
10	καθώς										
11	προετοίμαζε										
12	την										
13	πρόβα										
14	τζενεράλε										
15	στο										
16	έργο										
17	«	nsp									
18	Ταξίδι										
19	στον										
20	Σταυρό										
21	του										
22	Νότου	nsp									
23	»	nsp									
24	,										
25	το										
26	οποίο										
27	σκηνοθετεί										
28	και										
29	κάνει										
30	επίσημη										
31	πρεμιέρα										
32	τη										
33	Δευτέρα										
34	25										
35	Ιανουαρίου	nsp									
36	.										
											
1	Ο										
2	Τσόρτσιλ	nsp									
3	,										
4	που										
5	της										
6	το			1	OTH						
7	φύλαγε	nsp		1							
8	,										
9	αποδόμησε										
10	χλευαστικά										
11	διαπρύσια										
12	ομιλία										
13	της										
14	στη										
15	Βουλή										
16	των										
17	Κοινοτήτων	nsp									
18	.										
											
1	Ο										
2	ίδιος										
3	ο										
4	εαυτός										
5	μου										
6	ήταν										
7	αυτός										
8	που										
9	μου										
10	έβαλε			1	ID/LVC						
11	φρένο	nsp		1							
12	.										
											
1	Ο										
2	κ	nsp									
3	.										
4	Αναστασιάδης										
5	μάλιστα										
6	θα										
7	βρεθεί										
8	αργότερα										
9	και										
10	με										
11	τον										
12	κ	nsp									
13	.										
14	Τσίπρα										
15	προκειμένου										
16	να										
17	συζητήσουν										
18	όλες										
19	τις										
20	κρίσιμες										
21	εξελίηεις	nsp									
22	,										
23	ενώ										
24	τέλος										
25	και										
26	ο										
27	πρωθυπουργός										
28	της										
29	Τουρκίας	nsp									
30	,										
31	Αχμέντ										
32	Νταβούτογλου										
33	αναμένεται										
34	να										
35	πάρει			1	ID						
36	θέση			1							
37	για					SEL/_					
38	το										
39	θέμα										
40	του										
41	Κυπριακού	nsp									
42	.										
											
1	Ο										
2	κ	nsp									
3	.										
4	Βούτσης										
5	σην										
6	συνέντευξή										
7	του										
8	στην										
9	Καθημερινή										
10	της										
11	Κυριακής										
12	εξαπολύει			1	ID						
13	πυρά			1							
14	εναντίον					SEL					
15	της										
16	προκατόχου										
17	του										
18	Ζωής										
19	Κωνσταντοπούλου	nsp									
20	,										
21	λέγοντας										
22	ότι										
23	ενώ										
24	στην										
25	αρχή										
26	συμφωνούσε	nsp									
27	,										
28	έστω										
29	και										
30	τυπικά										
31	με										
32	την										
33	κομματική										
34	γραμμή	nsp									
35	,										
36	μετά										
37	το										
38	δημοψήφισμα										
39	όμως										
40	έκανε			2	ID		3	LVC		4	ID
41	σημεία			2							
42	και			2							
43	τέρατα	nsp		2							
44	,										
45	συνεδριάσεις						3				
46	που										
47	κρατούσαν										
48	μέχρι										
49	το										
50	πρωί	nsp									
51	,										
52	bullying	nsp								4	
53	,										
54	απίστευτα										
55	πράγματα										
56	που										
57	δεν										
58	είναι										
59	γνωστά	nsp									
60	.										
											
1	Ο										
2	κ	nsp									
3	.										
4	Σόιμπλε										
5	στο										
6	ζήτημα										
7	αυτό										
8	κινήθηκε			1	ID						
9	μάλλον										
10	στο			1							
11	ίδιο			1							
12	μήκος			1							
13	κύματος	nsp		1							
14	.										
											
1	Ο										
2	κωμικός										
3	από										
4	τη										
5	Βέροια	nsp									
6	,										
7	τον										
8	οποίο										
9	το										
10	νεανικό										
11	κοινό										
12	ακολουθεί										
13	πιστά										
14	όταν										
15	ανεβάζει										
16	τη										
17	θεατρική										
18	παράσταση										
19	«	nsp									
20	Στα										
21	βούτυρα	nsp									
22	»										
23	-	nsp									
24	που										
25	σπάει			1	ID						
26	ταμεία	nsp		1							
27	-	nsp									
28	,										
29	έκανε			2	LVC						
30	μια										
31	στάση			2							
32	φέτος										
33	στο										
34	κανάλι										
35	της										
36	Κάντζας										
37	και	nsp									
38	,										
39	όπως										
40	φάνηκε	nsp									
41	,										
42	η										
43	χημεία										
44	του										
45	με										
46	την										
47	κομψή										
48	παρουσιάστρια										
49	έχει										
50	δέσει										
51	για										
52	τα										
53	καλά	nsp									
54	.										
											
1	Ο										
2	μικρός										
3	τραυματίστηκε										
4	σοβαρά										
5	και										
6	αμέσως										
7	μεταφέρθηκε										
8	με										
9	ασθενοφόρο										
10	στο										
11	Αττικό										
12	Νοσοκομείο	nsp									
13	,										
14	όπου										
15	οι										
16	γιατροί										
17	έδωσαν			1	LVC						
18	μάχη			1							
19	για										
20	να										
21	τον										
22	κρατήσουν			2	ID						
23	στη			2							
24	ζωή	nsp		2							
25	.										
											
1	Ο										
2	πρωθυπουργός										
3	έχει										
4	επωμισθεί										
5	μία										
6	σχεδόν										
7	αδύνατη										
8	αποστολή	nsp									
9	,										
10	αλλά										
11	εκείνος										
12	βιάστηκε										
13	να										
14	έλθει										
15	στην										
16	εξουσία										
17	και										
18	δεν										
19	έβαλε			1	SENT						
20	ποτέ										
21	νερό			1							
22	στο			1							
23	κρασί			1							
24	του			1							
25	όσο										
26	βρισκόταν										
27	στην										
28	αντιπολίτευση	nsp									
29	.										
											
1	Ο										
2	τελευταίος										
3	χρόνος										
4	έδειξε										
5	ότι	nsp									
6	,										
7	όταν										
8	βρίσκεται										
9	σε										
10	δυσκολίες	nsp									
11	,										
12	ο										
13	κ	nsp									
14	.										
15	Τσίπρας										
16	επιλέγει										
17	μια										
18	δραματική										
19	τακτική										
20	κίνηση										
21	–	nsp									
22	δημοψήφισμα	nsp									
23	,										
24	εκλογές	nsp									
25	,										
26	σύγκληση										
27	συμβουλίου										
28	πολιτικών										
29	αρχηγών	nsp									
30	–										
31	για										
32	να										
33	αποποιηθεί										
34	τις										
35	ευθύνες										
36	του										
37	και										
38	να										
39	θολώσει			1	SENT						
40	τα			1							
41	νερά			1							
42	αντί										
43	να										
44	αντιμετωπίσει										
45	την										
46	ουσία										
47	των										
48	προβλημάτων	nsp									
49	.										
											
1	Ο										
2	υπουργός										
3	Εργασίας										
4	χαρακτήρισε										
5	τη										
6	διαπραγμάτευση										
7	σκληρή	nsp									
8	,										
9	προσδιορίζοντας										
10	πως										
11	το										
12	νομοσχέδιο										
13	θα										
14	κατατεθεί										
15	το										
16	συντομότερο										
17	δυνατόν										
18	και										
19	«	nsp									
20	θα										
21	ψηφιστεί										
22	μέσα										
23	στο										
24	Φεβρουάριο	nsp									
25	»	nsp									
26	,										
27	ανοίγοντας			1	ID						
28	παράλληλα										
29	το			1							
30	δρόμο			1							
31	για										
32	ολοκλήρωση										
33	της										
34	πρώτης										
35	αξιολόγησης	nsp									
36	.										
											
1	Ο										
2	υπουργός										
3	μίλησε										
4	στη										
5	Φρανκφούρτη	nsp									
6	,										
7	όπου										
8	συναντήθηκε										
9	με										
10	Γερμανούς										
11	τουριστικούς										
12	πράκτορες										
13	για										
14	να										
15	συζητήσουν										
16	την										
17	από										
18	κοινού										
19	λήψη			1	LVC/_						
20	μέτρων			1							
21	για										
22	την										
23	αύξηση										
24	της										
25	τουριστικής										
26	ζήτησης	nsp									
27	,										
28	όπως										
29	προωθητικές										
30	καμπάνιες										
31	το										
32	κόστος										
33	των										
34	οποίων										
35	θα										
36	καλυφθεί										
37	εξ										
38	ημισείας										
39	από										
40	την										
41	Τουρκία										
42	και										
43	τις										
44	τουριστικές										
45	επιχειρήσεις	nsp									
46	.										
											
1	Οι										
2	Dsquared2										
3	τα			1	SENT						
4	έδωσαν			1							
5	όλα			1							
6	σε										
7	γαμήλιο										
8	γλέντι										
											
1	Οι										
2	αγρότες										
3	εμφανίζονται										
4	αποφασισμένοι										
5	να										
6	μην										
7	κάνουν			1	LVC						
8	ούτε										
9	βήμα			1							
10	πίσω	nsp		1							
11	,										
12	βάζοντας										
13	στην										
14	κυβέρνηση										
15	ένα										
16	δύσκολο										
17	γρίφο										
18	προς										
19	επίλυση	nsp									
20	.										
											
1	Οι										
2	αρμόδιες										
3	Αρχές										
4	ωστόσο										
5	έκριναν										
6	ότι										
7	η										
8	επίμαχη										
9	κατάθεση										
10	προερχόταν										
11	από										
12	δικά										
13	του										
14	χρήματα										
15	κι										
16	έτσι										
17	η										
18	δικογραφία										
19	της										
20	υπόθεσης										
21	παίρνει			1	ID						
22	τον			1							
23	δρόμο			1							
24	της										
25	ποινικής										
26	Δικαιοσύνης										
27	και										
28	των										
29	ποινικών										
30	κυρώσεων	nsp									
31	.										
											
1	Οι										
2	δηλώσεις										
3	του										
4	Βέλγου										
5	υπουργού										
6	βάζουν			1	OTH						
7	επί										
8	της										
9	ουσίας										
10	βόμβα			1							
11	στα					SEL/_					
12	θεμέλια										
13	της										
14	συμφωνίας										
15	που										
16	επιτεύχθηκε										
17	στο										
18	τελευταίο										
19	Ecofin										
20	του										
21	2015	nsp									
22	.										
											
1	Οι										
2	ερευνητές										
3	καταλήγουν			1	LVC						
4	στο			1							
5	συμπέρασμα			1							
6	ότι										
7	η										
8	αύξηση										
9	της										
10	τιμής										
11	των										
12	ασφαλίστρων										
13	έναντι										
14	κινδύνου										
15	χρεοκοπίας										
16	(	nsp									
17	CDS	nsp									
18	)										
19	κατά										
20	10	nsp									
21	%										
22	οδηγεί										
23	σε										
24	αύξηση										
25	των										
26	ανάλογων										
27	ασφαλίστρων										
28	και										
29	για										
30	τις										
31	εταιρείες										
32	(	nsp									
33	εκτός										
34	χρηματοπιστωτικού										
35	τομέα	nsp									
36	)										
37	της										
38	χώρας										
39	κατά										
40	1	nsp									
41	,	nsp									
42	1	nsp									
43	%	nsp									
44	.										
											
1	Οι										
2	μεσοσταθμικές										
3	τιμές										
4	πώλησης										
5	των										
6	εταιρειών										
7	εμπορίας										
8	σημείωσαν			1	LVC						
9	πτώση			1							
10	κατά										
11	14	nsp									
12	,	nsp									
13	09	nsp									
14	%	nsp									
15	,										
16	ενώ										
17	οι										
18	μέσες										
19	τιμές										
20	λιανικής										
21	πώλησης										
22	στα										
23	πρατήρια										
24	μειώθηκαν										
25	κατά										
26	13	nsp									
27	,	nsp									
28	16	nsp									
29	%	nsp									
30	.										
											
1	Οι										
2	οικονομικές										
3	πιέσεις										
4	που										
5	δέχονται										
6	οφείλονται										
7	στην										
8	μείωση										
9	της										
10	ζήτησης										
11	και										
12	την										
13	υπερπροσφορά	nsp									
14	,										
15	που										
16	έφεραν			1	ID/LVC						
17	βουτιά			1							
18	άνω										
19	του										
20	70	nsp									
21	%										
22	στις										
23	τιμές	nsp									
24	.										
											
1	Οι										
2	φωτογραφίες										
3	του										
4	Έλληνα										
5	πρωθυπουργού										
6	κάνουν			1	LVC						
7	το			1							
8	γύρο			1							
9	του										
10	διαδικτύου										
11	και										
12	πέρα										
13	από										
14	το										
15	πολιτικό										
16	ρεπορτάζ										
17	τα										
18	φώτα			2	OTH						
19	κλέβει			2							
20	η										
21	στιλιστική										
22	του										
23	επιλογή										
24	με										
25	το										
26	μεταξωτό										
27	φουλάρι										
28	και										
29	το										
30	slim										
31	line										
32	κουστούμι										
33	που										
34	επέλεξαν										
35	για										
36	εκείνον										
37	οι										
38	στιλίστες										
39	του										
40	Μαξίμου	nsp									
41	.										
											
1	Πάντως	nsp									
2	,										
3	η										
4	επιβράδυνση										
5	της										
6	κινεζικής										
7	οικονομίας	nsp									
8	,										
9	οι										
10	χαμηλότερες										
11	τιμές										
12	των										
13	εμπορευμάτων										
14	και										
15	οι										
16	πιέσεις										
17	σε										
18	ορισμένες										
19	μεγάλες										
20	και										
21	αναδυόμενες										
22	οικονομίες										
23	θα										
24	συνεχίσουν										
25	να										
26	ρίχνουν			1	SENT						
27	τη			1							
28	σκιά			1							
29	τους			1							
30	στις					SEL					
31	προοπτικές										
32	ανάπτυξης										
33	για										
34	το										
35	2016	nsp									
36	-	nsp									
37	2017	nsp									
38	.										
											
1	Πέντε										
2	μήνες										
3	ελευθερίας										
4	πλάι										
5	στα										
6	αγαπημένα										
7	του										
8	πρόσωπα										
9	ήταν										
10	το										
11	«	nsp									
12	δώρο	nsp									
13	»										
14	του										
15	περσινού										
16	έτους										
17	για										
18	τον										
19	«	nsp									
20	Big										
21	Mac	nsp									
22	»	nsp									
23	,										
24	ωστόσο										
25	η										
26	μοίρα										
27	τού										
28	έπαιξε			1	ID						
29	άσχημο										
30	παιχνίδι			1							
31	και										
32	βύθισε			2	OTH						
33	στο			2							
34	πένθος			2							
35	την										
36	οικογένεια										
37	Ψωμιάδη	nsp									
38	.										
											
1	Παίρνοντας			1	LVC						
2	τον			1							
3	λόγο	nsp		1							
4	,										
5	ο										
6	Αλέξης										
7	Τσίπρας										
8	απάντησε										
9	ότι										
10	«	nsp									
11	δεν										
12	μπορούμε										
13	να										
14	μένουμε										
15	στο										
16	σκοτάδι										
17	διαρκώς	nsp									
18	»	nsp									
19	.										
											
1	Παρά										
2	τη										
3	δύσκολη										
4	οικονομική										
5	συγκυρία	nsp									
6	,										
7	η										
8	πολιτική										
9	ηγεσία										
10	του										
11	υπουργείου										
12	θα										
13	καταβάλλει			1	LVC						
14	κάθε										
15	δυνατή										
16	προσπάθεια			1							
17	να										
18	προασπίσει										
19	τη										
20	δημόσια										
21	υγεία										
22	και										
23	να										
24	διορθώσει										
25	στρεβλώσεις										
26	του										
27	παρελθόντος										
28	που										
29	είχαν										
30	ως										
31	συνέπεια										
32	την										
33	οικονομική										
34	επιβάρυνση										
35	των										
36	πολιτών										
37	που										
38	απευθύνονταν										
39	στο										
40	ΕΣΥ										
41	αναφέρει										
42	το										
43	υπουργείο										
44	Υγείας	nsp									
45	.										
											
1	Παρά										
2	το										
3	γεγονός										
4	ότι										
5	το										
6	χρονικό										
7	περιθώριο										
8	που										
9	δόθηκε										
10	στους										
11	ασυνεπείς										
12	ιδιοκτήτες										
13	Ι	nsp									
14	.	nsp									
15	Χ	nsp									
16	.										
17	και										
18	δικύκλων	nsp									
19	,										
20	να										
21	περάσουν										
22	από										
23	τεχνικό										
24	έλεγχο										
25	τα										
26	οχήματά										
27	τους										
28	(	nsp									
29	κάνοντας			1	LVC						
30	χρήση			1							
31	των										
32	ευνοϊκών										
33	ρυθμίσεων	nsp									
34	,										
35	που										
36	προέβλεπαν										
37	έκπτωση										
38	στο										
39	πρόστιμο										
40	καθυστερημένης										
41	προσέλευσης	nsp									
42	)	nsp									
43	,										
44	παρήλθε										
45	εδώ										
46	και										
47	έναν										
48	μήνα										
49	περίπου	nsp									
50	,										
51	δεν										
52	έχει			2	LVC						
53	γίνει			2							
54	ακόμα										
55	διασταύρωση			2							
56	στοιχείων	nsp									
57	.										
											
1	Παράλληλα										
2	η										
3	ιταλική										
4	κυβέρνηση										
5	αποφάσισε										
6	να										
7	λάβει			1	LVC						
8	σκληρότερα										
9	μέτρα			1							
10	κατά										
11	των										
12	δημοσίων										
13	υπαλλήλων										
14	που										
15	απουσιάζουν										
16	χωρίς										
17	βάσιμη										
18	αιτία										
19	από										
20	τον										
21	χώρο										
22	εργασίας										
23	τους	nsp									
24	.										
											
1	Παράλληλα	nsp									
2	,										
3	ανέφερε										
4	ότι										
5	η										
6	κόρη										
7	της										
8	διατηρούσε			1	LVC						
9	καλές										
10	σχέσεις			1							
11	με										
12	τον										
13	πρώην										
14	σύζυγό										
15	της	nsp									
16	,										
17	ο										
18	οποίος										
19	τους										
20	επισκεπτόταν										
21	στη										
22	βίλα	nsp									
23	.										
											
1	Παραδέχθηκε										
2	ότι										
3	η										
4	Ελλάδα										
5	έχει			1	LVC						
6	τις										
7	ευθύνες			1							
8	της										
9	για					SEL/_					
10	τα										
11	hotspots										
12	αλλά										
13	επισήμανε										
14	με										
15	έμφαση										
16	ότι										
17	το										
18	πρόβλημα										
19	δεν										
20	είναι										
21	αυτά	nsp									
22	.										
											
1	Παρότι										
2	οι										
3	διαφωνούντες										
4	με										
5	την										
6	πολιτική										
7	της										
8	Μέρκελ										
9	απέφυγαν										
10	να										
11	δημοσιοποιήσουν										
12	τον										
13	κατάλογο										
14	των										
15	προσώπων										
16	που										
17	υπογράφουν										
18	το										
19	κείμενο	nsp									
20	,										
21	αυτή										
22	είναι										
23	η										
24	πρώτη										
25	φορά										
26	που										
27	τόσοι										
28	πολλοί										
29	κοινοβουλευτικοί										
30	του										
31	κόμματός										
32	της										
33	βάζουν			1	LVC						
34	την										
35	υπογραφή			1							
36	τους										
37	σε										
38	ένα										
39	κείμενο										
40	που										
41	καταγγέλλει										
42	την										
43	πολιτική										
44	της										
45	όσον										
46	αφορά										
47	την										
48	κρίση										
49	των										
50	προσφύγων										
51	που										
52	είχε										
53	ανακοινωθεί										
54	από										
55	την										
56	καγκελαρία										
57	τον										
58	Σεπτέμβριο	nsp									
59	.										
											
1	Πατάνε			1	OTH						
2	και										
3	οι										
4	δυο										
5	τους										
6	γερά										
7	στη			1							
8	γη			1							
9	και										
10	είναι										
11	μεθοδικοί	nsp									
12	.										
											
1	Πολύ										
2	ενδιαφέρον										
3	πηγαδάκι			1	ID						
4	στήθηκε			1							
5	στο										
6	Εντευκτήριο										
7	μεταξύ										
8	του										
9	αντιπροέδρου										
10	της										
11	Βουλής										
12	Νικήτα										
13	Κακλαμάνη										
14	και										
15	του										
16	βουλευτή										
17	του										
18	ΠΑΣΟΚ										
19	Κώστα										
20	Σκανδαλίδη	nsp									
21	.										
											
1	Ποτέ										
2	δεν										
3	πήρα			1	ID/LVC						
4	στα			1							
5	σοβαρά			1							
6	όποια										
7	επιτυχία										
8	είχα	nsp									
9	,										
10	αλλά										
11	και										
12	το										
13	ηθοποιηλίκι										
14	το										
15	ίδιο	nsp									
